"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Datum und Vorlage";"Stimmberechtigte";"Abgegebene Stimmen";"Beteiligung in %";"Gültige Stimmzettel";"Ja";"Nein";"Ja in %"
"......Sufers";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";104;66;63.5;66;11;55;16.7
"......Andeer";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";649;322;49.6;316;96;220;30.4
"......Casti-Wergenstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";39;25;64.1;25;7;18;28.0
"......Donat";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";166;80;48.2;78;26;52;33.3
"......Lohn (GR)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";39;18;46.2;17;8;9;47.1
"......Mathon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";45;23;51.1;23;6;17;26.1
"......Rongellen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";43;27;62.8;27;11;16;40.7
"......Zillis-Reischen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";276;137;49.6;137;43;94;31.4
"......Ferrera";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";68;45;66.2;45;8;37;17.8
"......GR-Ausland-CH";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";...;...;...;...;...;...;...
"- Aargau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";407177;208358;51.2;206846;59747;147099;28.9
">> Bezirk Aarau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";47352;25004;52.8;24793;7612;17181;30.7
"......Aarau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";13797;7458;54.1;7365;2495;4870;33.9
"......Biberstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1120;689;61.5;683;202;481;29.6
"......Buchs (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4136;2039;49.3;2026;616;1410;30.4
"......Densbüren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";523;277;53.0;276;81;195;29.3
"......Erlinsbach (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2667;1524;57.1;1515;445;1070;29.4
"......Gränichen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4717;2419;51.3;2395;724;1671;30.2
"......Hirschthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1076;548;50.9;544;131;413;24.1
"......Küttigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4128;2412;58.4;2392;700;1692;29.3
"......Muhen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2637;1360;51.6;1354;350;1004;25.8
"......Oberentfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4636;2270;49.0;2259;625;1634;27.7
"......Suhr";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5418;2669;49.3;2654;893;1761;33.6
"......Unterentfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2497;1339;53.6;1330;350;980;26.3
">> Bezirk Baden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";81133;42726;52.7;42426;11678;30748;27.5
"......Baden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";11380;6401;56.2;6332;1955;4377;30.9
"......Bellikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1162;665;57.2;664;149;515;22.4
"......Bergdietikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1783;1054;59.1;1047;230;817;22.0
"......Birmenstorf (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1869;977;52.3;969;215;754;22.2
"......Ennetbaden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2128;1312;61.7;1302;394;908;30.3
"......Fislisbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3403;1667;49.0;1652;444;1208;26.9
"......Freienwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";634;383;60.4;383;130;253;33.9
"......Gebenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2996;1527;51.0;1519;458;1061;30.2
"......Killwangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1115;584;52.4;581;157;424;27.0
"......Künten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1130;582;51.5;577;159;418;27.6
"......Mägenwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1268;619;48.8;613;144;469;23.5
"......Mellingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2799;1369;48.9;1362;376;986;27.6
"......Neuenhof";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3789;1600;42.2;1586;515;1071;32.5
"......Niederrohrdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2447;1394;57.0;1387;316;1071;22.8
"......Oberrohrdorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2732;1648;60.3;1643;303;1340;18.4
"......Obersiggenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4826;2751;57.0;2728;779;1949;28.6
"......Remetschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1396;776;55.6;772;172;600;22.3
"......Spreitenbach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4369;1708;39.1;1699;561;1138;33.0
"......Stetten (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1235;586;47.4;582;162;420;27.8
"......Turgi";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1502;685;45.6;683;269;414;39.4
"......Untersiggenthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4123;2216;53.7;2201;662;1539;30.1
"......Wettingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";12487;6612;53.0;6561;1788;4773;27.3
"......Wohlenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";999;526;52.7;522;146;376;28.0
"......Würenlingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2645;1405;53.1;1399;291;1108;20.8
"......Würenlos";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3973;2143;53.9;2135;487;1648;22.8
"......Ehrendingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2943;1536;52.2;1527;416;1111;27.2
">> Bezirk Bremgarten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";46063;24275;52.7;24121;6258;17863;25.9
"......Arni (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1276;710;55.6;702;169;533;24.1
"......Berikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3061;1668;54.5;1660;445;1215;26.8
"......Bremgarten (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4948;2473;50.0;2460;751;1709;30.5
"......Büttikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";632;381;60.3;378;80;298;21.2
"......Dottikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2026;991;48.9;986;299;687;30.3
"......Eggenwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";632;402;63.6;401;89;312;22.2
"......Fischbach-Göslikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1135;542;47.8;539;118;421;21.9
"......Hägglingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1628;841;51.7;837;215;622;25.7
"......Jonen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1332;745;55.9;741;190;551;25.6
"......Niederwil (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1715;845;49.3;838;193;645;23.0
"......Oberlunkhofen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1384;800;57.8;797;213;584;26.7
"......Oberwil-Lieli";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1569;980;62.5;979;208;771;21.2
"......Rudolfstetten-Friedlisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2726;1322;48.5;1309;373;936;28.5
"......Sarmenstorf";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1855;918;49.5;908;222;686;24.4
"......Tägerig";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";920;521;56.6;511;135;376;26.4
"......Uezwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";299;187;62.5;186;68;118;36.6
"......Unterlunkhofen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";919;503;54.7;502;105;397;20.9
"......Villmergen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4022;1878;46.7;1863;480;1383;25.8
"......Widen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2550;1500;58.8;1496;350;1146;23.4
"......Wohlen (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";8141;4180;51.3;4149;1100;3049;26.5
"......Zufikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2887;1625;56.3;1616;390;1226;24.1
"......Islisberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";406;263;64.8;263;65;198;24.7
">> Bezirk Brugg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";30771;16581;53.9;16443;4906;11537;29.8
"......Auenstein";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1182;654;55.3;648;180;468;27.8
"......Birr";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1884;867;46.0;865;242;623;28.0
"......Birrhard";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";487;254;52.2;253;58;195;22.9
"......Bözen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";519;284;54.7;282;76;206;27.0
"......Brugg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";6719;3718;55.3;3669;1198;2471;32.7
"......Effingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";445;226;50.8;224;67;157;29.9
"......Elfingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";191;108;56.5;108;37;71;34.3
"......Habsburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";325;206;63.4;205;41;164;20.0
"......Hausen (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2118;1163;54.9;1157;312;845;27.0
"......Lupfig";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1935;1043;53.9;1032;318;714;30.8
"......Mandach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";233;118;50.6;118;31;87;26.3
"......Mönthal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";310;164;52.9;161;47;114;29.2
"......Mülligen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";717;351;49.0;349;99;250;28.4
"......Remigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";748;410;54.8;407;90;317;22.1
"......Riniken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1004;570;56.8;565;152;413;26.9
"......Rüfenach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";633;366;57.8;363;105;258;28.9
"......Schinznach-Bad";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";712;350;49.2;349;105;244;30.1
"......Thalheim (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";606;323;53.3;321;112;209;34.9
"......Veltheim (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";967;470;48.6;461;152;309;33.0
"......Villigen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1274;719;56.4;713;188;525;26.4
"......Villnachern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1051;596;56.7;590;149;441;25.3
"......Windisch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3957;2089;52.8;2077;736;1341;35.4
"......Bözberg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1172;673;57.4;669;201;468;30.0
"......Schinznach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1582;859;54.3;857;210;647;24.5
">> Bezirk Kulm";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";24647;11923;48.4;11851;3478;8373;29.3
"......Beinwil am See";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2194;1124;51.2;1116;335;781;30.0
"......Birrwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";780;459;58.8;458;153;305;33.4
"......Burg (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";547;230;42.0;229;75;154;32.8
"......Dürrenäsch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";865;452;52.3;451;112;339;24.8
"......Gontenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1427;718;50.3;716;217;499;30.3
"......Holziken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";900;408;45.3;404;92;312;22.8
"......Leimbach (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";326;181;55.5;181;51;130;28.2
"......Leutwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";551;317;57.5;317;95;222;30.0
"......Menziken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3060;1383;45.2;1376;445;931;32.3
"......Oberkulm";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1652;899;54.4;885;249;636;28.1
"......Reinach (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4286;1740;40.6;1730;503;1227;29.1
"......Schlossrued";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";623;304;48.8;304;87;217;28.6
"......Schmiedrued";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";871;409;47.0;402;125;277;31.1
"......Schöftland";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2815;1377;48.9;1367;367;1000;26.8
"......Teufenthal (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1013;487;48.1;485;130;355;26.8
"......Unterkulm";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1768;934;52.8;931;302;629;32.4
"......Zetzwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";969;501;51.7;499;140;359;28.1
">> Bezirk Laufenburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";20439;10421;51.0;10347;3182;7165;30.8
"......Eiken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1441;594;41.2;589;176;413;29.9
"......Frick";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3174;1566;49.3;1554;471;1083;30.3
"......Gansingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";755;421;55.8;419;105;314;25.1
"......Gipf-Oberfrick";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2470;1389;56.2;1375;387;988;28.1
"......Herznach";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";976;584;59.8;584;168;416;28.8
"......Hornussen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";613;303;49.4;302;95;207;31.5
"......Kaisten";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1777;818;46.0;814;237;577;29.1
"......Laufenburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1870;965;51.6;958;301;657;31.4
"......Münchwilen (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";587;324;55.2;322;99;223;30.7
"......Oberhof";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";425;237;55.8;234;93;141;39.7
"......Oeschgen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";653;327;50.1;326;92;234;28.2
"......Schwaderloch";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";462;210;45.5;208;72;136;34.6
"......Sisseln";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";913;376;41.2;375;126;249;33.6
"......Ueken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";562;306;54.4;301;105;196;34.9
"......Wittnau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";877;453;51.7;450;134;316;29.8
"......Wölflinswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";705;396;56.2;394;121;273;30.7
"......Zeihen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";762;443;58.1;442;179;263;40.5
"......Mettauertal";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1417;709;50.0;700;221;479;31.6
">> Bezirk Lenzburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";35991;18827;52.3;18690;5169;13521;27.7
"......Ammerswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";463;239;51.6;239;67;172;28.0
"......Boniswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";970;557;57.4;550;160;390;29.1
"......Brunegg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";460;238;51.7;235;63;172;26.8
"......Dintikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1277;653;51.1;650;166;484;25.5
"......Egliswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";957;523;54.6;521;151;370;29.0
"......Fahrwangen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1254;561;44.7;550;168;382;30.5
"......Hallwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";546;258;47.3;256;80;176;31.3
"......Hendschiken";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";675;339;50.2;337;84;253;24.9
"......Holderbank (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";612;276;45.1;274;80;194;29.2
"......Hunzenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2120;939;44.3;936;269;667;28.7
"......Lenzburg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";5394;2975;55.2;2954;872;2082;29.5
"......Meisterschwanden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1876;1078;57.5;1073;227;846;21.2
"......Möriken-Wildegg";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2765;1477;53.4;1466;380;1086;25.9
"......Niederlenz";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2501;1225;49.0;1220;395;825;32.4
"......Othmarsingen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1582;782;49.4;778;227;551;29.2
"......Rupperswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3197;1640;51.3;1626;470;1156;28.9
"......Schafisheim";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1915;971;50.7;962;291;671;30.2
"......Seengen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2596;1519;58.5;1512;329;1183;21.8
"......Seon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";3039;1530;50.3;1512;414;1098;27.4
"......Staufen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1792;1047;58.4;1039;276;763;26.6
">> Bezirk Muri";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";22353;11393;51.0;11334;2988;8346;26.4
"......Abtwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";642;319;49.7;318;78;240;24.5
"......Aristau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";976;477;48.9;474;117;357;24.7
"......Auw";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1175;513;43.7;512;124;388;24.2
"......Beinwil (Freiamt)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";746;397;53.2;396;87;309;22.0
"......Besenbüren";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";413;233;56.4;232;55;177;23.7
"......Bettwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";431;232;53.8;230;48;182;20.9
"......Boswil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1793;840;46.8;835;208;627;24.9
"......Bünzen";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";702;380;54.1;377;101;276;26.8
"......Buttwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";828;448;54.1;446;136;310;30.5
"......Dietwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";873;434;49.7;434;138;296;31.8
"......Geltwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";130;69;53.1;69;16;53;23.2
"......Kallern";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";231;138;59.7;136;41;95;30.1
"......Merenschwand";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2177;1294;59.4;1288;341;947;26.5
"......Mühlau";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";707;363;51.3;363;96;267;26.4
"......Muri (AG)";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";4594;2256;49.1;2246;625;1621;27.8
"......Oberrüti";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";961;500;52.0;496;108;388;21.8
"......Rottenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";564;299;53.0;298;78;220;26.2
"......Sins";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";2644;1237;46.8;1229;288;941;23.4
"......Waltenschwil";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";1766;964;54.6;955;303;652;31.7
">> Bezirk Rheinfelden";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";28434;13752;48.4;13634;4222;9412;31.0
"......Hellikon";"2013-11-24 Volksinitiative «1:12 - Für gerechte Löhne»";614;324;52.8;322;104;218;32.3
